project_id,category,location,project_cost,planned_duration_months,planned_progress,actual_progress,progress_deviation,expenditure_percentage,cost_progress_ratio,resource_availability,material_availability,workforce_availability,contractor_performance,delay_days,milestone_completion_rate,change_requests,weather_impact,previous_delay_count,risk_history,risk_level,predicted_delay_months,predicted_cost_overrun_percentage
PRJ-1018,Water Supply,Gujarat,992.69,25,83.2,70.6,12.6,92.0,1.303,59.5,55.0,66.0,66.2,74,80.8,7,6.2,1,6.6,HIGH,4.3,12.3
PRJ-1019,Irrigation,Kerala,196.72,31,68.7,68.7,0.0,68.9,1.003,88.9,87.2,95.2,91.4,3,100.0,0,3.1,0,2.1,LOW,0.2,1.0
PRJ-1020,Airport,Uttar Pradesh,2968.41,64,84.2,84.2,0.0,88.9,1.056,90.6,93.6,98.4,91.7,1,100.0,0,2.2,0,2.0,LOW,0.5,0.5
PRJ-1021,Power Infrastructure,Himachal Pradesh,1171.54,20,49.2,49.2,0.0,51.2,1.041,96.4,96.7,96.9,94.6,0,100.0,0,3.1,0,1.2,LOW,0.1,1.2
PRJ-1022,Railway,Assam,1355.3,53,86.6,81.8,4.8,87.2,1.066,81.7,71.1,74.5,73.5,25,97.4,3,3.6,0,2.6,MEDIUM,1.1,5.7
PRJ-1023,Railway,Himachal Pradesh,1483.23,52,42.3,33.2,9.1,36.5,1.099,74.3,83.7,84.3,79.6,22,77.6,2,5.7,1,4.5,MEDIUM,3.3,5.6
PRJ-1024,Airport,Kerala,4146.43,68,24.6,9.1,15.5,11.5,1.264,55.2,53.3,65.1,56.9,99,38.5,6,6.1,1,5.3,HIGH,5.0,13.5
PRJ-1025,Bridge,Tamil Nadu,1772.3,37,81.4,60.5,20.9,75.9,1.255,69.0,58.9,56.1,62.9,105,69.1,4,3.1,2,5.8,HIGH,5.7,14.6
PRJ-1026,Highway,Rajasthan,1359.14,18,64.8,40.9,23.9,50.8,1.242,57.4,67.8,61.9,68.3,109,59.8,5,4.0,3,6.2,HIGH,6.4,12.2
PRJ-1027,Airport,Tamil Nadu,8458.99,54,63.3,58.3,5.0,60.3,1.034,76.8,75.2,72.5,81.5,32,98.0,1,3.1,1,3.3,MEDIUM,2.5,6.3
PRJ-1028,Bridge,Gujarat,2932.84,33,33.3,18.2,15.1,20.7,1.137,62.8,62.5,59.9,60.2,62,57.6,1,4.9,3,6.6,HIGH,7.3,8.8
PRJ-1029,Water Supply,Madhya Pradesh,416.62,26,43.2,43.2,0.0,43.3,1.002,89.3,97.6,95.1,89.3,5,100.0,1,1.8,0,0.6,LOW,0.5,0.9
PRJ-1030,Power Infrastructure,Kerala,2318.8,29,61.1,54.3,6.8,58.8,1.083,80.5,73.6,73.5,83.8,31,89.3,1,2.8,0,2.7,MEDIUM,2.9,7.4
PRJ-1031,Metro,Kerala,3880.29,65,34.8,20.1,14.7,24.3,1.209,58.2,64.5,62.5,65.0,93,56.0,4,6.9,3,5.1,HIGH,6.6,12.6
PRJ-1032,Irrigation,West Bengal,514.69,47,86.9,80.7,6.2,85.9,1.064,73.7,81.0,86.1,83.5,36,95.0,0,2.0,1,4.2,MEDIUM,2.1,5.5
PRJ-1033,Airport,Tamil Nadu,9545.79,59,69.2,60.7,8.5,70.1,1.155,69.4,62.6,62.6,65.0,66,82.1,4,4.8,3,6.2,HIGH,6.9,18.0
PRJ-1034,Metro,Himachal Pradesh,22450.74,47,74.2,66.4,7.8,69.7,1.05,74.0,73.1,82.7,80.9,38,88.2,1,3.9,0,2.8,MEDIUM,2.9,8.5
PRJ-1035,Bridge,Bihar,1858.44,28,33.1,22.8,10.3,25.9,1.136,61.4,59.9,69.2,63.2,90,74.2,3,3.6,3,7.1,HIGH,6.2,14.8
PRJ-1036,Power Infrastructure,Assam,1443.37,24,73.0,55.7,17.3,66.0,1.185,62.2,53.9,69.8,68.0,76,74.4,5,7.8,1,6.6,HIGH,4.2,8.1
PRJ-1037,Airport,Himachal Pradesh,4295.66,54,31.9,13.3,18.6,16.4,1.233,49.8,36.1,39.4,38.9,154,42.3,7,7.5,5,7.2,CRITICAL,10.3,26.7
PRJ-1038,Bridge,Andhra Pradesh,572.34,30,75.8,72.6,3.2,76.5,1.054,78.2,76.0,80.4,77.3,32,98.5,0,2.0,0,2.7,MEDIUM,3.1,3.2
PRJ-1039,Highway,Rajasthan,842.93,61,44.4,44.2,0.2,43.5,0.984,94.1,95.4,97.7,96.5,0,98.7,0,2.5,0,1.9,LOW,0.1,2.3
PRJ-1040,Highway,Andhra Pradesh,685.79,43,83.1,65.1,18.0,77.3,1.187,52.3,43.7,41.7,47.5,194,76.7,3,8.7,5,8.4,CRITICAL,10.8,32.2
PRJ-1041,Water Supply,Madhya Pradesh,415.97,45,38.6,37.8,0.8,38.5,1.019,98.8,92.8,90.1,95.9,0,98.5,0,0.8,0,2.1,LOW,0.0,2.0
PRJ-1042,Railway,West Bengal,1238.7,54,29.9,29.9,0.0,29.7,0.993,94.6,93.8,96.0,96.4,3,100.0,1,0.6,0,1.2,LOW,0.2,0.6
PRJ-1043,Irrigation,West Bengal,569.17,20,71.8,71.8,0.0,71.8,1.0,93.2,94.6,99.2,92.4,0,100.0,0,1.9,0,0.6,LOW,0.1,0.0
PRJ-1044,Power Infrastructure,Assam,652.89,45,25.4,7.9,17.5,9.9,1.253,66.0,59.4,57.9,61.9,92,34.1,5,7.6,3,7.1,HIGH,6.6,16.2
PRJ-1045,Power Infrastructure,Karnataka,7544.32,38,69.9,52.1,17.8,61.1,1.173,55.7,62.0,70.0,64.4,92,74.4,2,5.2,3,5.7,HIGH,5.8,16.3
PRJ-1046,Airport,Karnataka,4374.53,40,36.6,36.6,0.0,36.9,1.008,95.7,90.4,96.7,86.0,4,100.0,0,0.4,0,1.4,LOW,0.0,1.7
PRJ-1047,Bridge,Himachal Pradesh,4123.77,43,77.5,77.4,0.1,79.1,1.022,96.4,91.2,93.8,89.6,4,97.3,2,2.8,0,1.2,LOW,0.0,0.4
PRJ-1048,Urban Development,Madhya Pradesh,186.55,19,21.3,18.5,2.8,20.1,1.086,92.2,94.8,90.6,90.6,5,84.9,1,2.4,0,1.2,LOW,0.0,1.3
PRJ-1049,Water Supply,Assam,361.72,32,45.2,45.2,0.0,44.2,0.978,97.7,98.1,99.9,97.6,0,100.0,0,2.1,0,1.8,LOW,0.1,3.1
PRJ-1050,Irrigation,Rajasthan,231.55,35,83.2,78.1,5.1,83.7,1.072,84.4,84.3,84.9,71.8,39,92.0,2,3.9,1,3.1,MEDIUM,3.5,7.7
PRJ-1051,Metro,Uttarakhand,8195.56,50,82.5,73.7,8.8,77.4,1.05,74.2,75.0,75.6,72.2,25,88.2,0,5.3,0,4.2,MEDIUM,2.7,7.1
PRJ-1052,Power Infrastructure,Tamil Nadu,461.53,40,40.7,33.1,7.6,35.2,1.063,80.8,73.9,81.5,83.7,22,80.6,1,3.1,1,2.5,MEDIUM,2.9,7.5
PRJ-1053,Highway,Gujarat,3102.11,43,54.1,52.9,1.2,52.7,0.996,97.4,98.9,96.1,86.0,1,95.9,0,1.2,0,1.5,LOW,0.4,0.7
PRJ-1054,Metro,Bihar,1805.82,58,53.7,53.2,0.5,56.7,1.066,97.4,92.9,97.9,86.3,0,99.8,1,0.9,0,0.9,LOW,0.0,0.3
PRJ-1055,Water Supply,Tamil Nadu,1314.31,30,71.5,57.6,13.9,64.8,1.125,63.7,54.7,57.3,61.6,88,84.3,3,3.4,1,5.3,HIGH,5.8,15.0
PRJ-1056,Water Supply,Assam,340.23,21,55.4,49.7,5.7,53.1,1.068,75.8,82.0,76.7,78.1,41,89.5,0,4.4,1,4.1,MEDIUM,3.0,7.8
PRJ-1057,Power Infrastructure,Uttarakhand,645.24,32,54.7,54.6,0.1,56.0,1.026,96.5,98.2,88.9,89.5,0,100.0,1,2.6,0,1.9,LOW,0.2,2.6
PRJ-1058,Airport,Himachal Pradesh,2442.55,67,87.3,69.8,17.5,82.9,1.188,67.5,62.4,61.8,63.8,122,84.7,4,7.1,2,6.0,HIGH,5.4,9.7
PRJ-1059,Highway,Gujarat,4147.96,30,31.6,16.9,14.7,19.4,1.148,60.3,61.2,61.9,64.1,91,54.7,3,3.3,3,6.0,HIGH,7.4,11.5
PRJ-1060,Urban Development,Madhya Pradesh,184.8,16,82.4,46.3,36.1,66.5,1.436,48.8,40.7,52.5,41.6,111,51.6,7,9.1,4,8.9,CRITICAL,6.5,28.3
PRJ-1061,Irrigation,Gujarat,638.55,26,62.7,62.7,0.0,62.2,0.992,89.0,94.5,91.7,93.6,6,95.1,1,1.1,0,1.5,LOW,0.0,1.1
PRJ-1062,Airport,Odisha,3284.66,61,68.2,62.4,5.8,67.6,1.083,80.2,84.2,75.8,76.3,40,92.8,2,2.6,1,3.6,MEDIUM,2.2,6.2
PRJ-1063,Metro,Delhi NCR,1405.73,58,22.8,22.7,0.1,22.6,0.996,98.3,90.1,94.1,90.9,3,100.0,0,0.3,0,2.2,LOW,0.4,0.0
PRJ-1064,Highway,Madhya Pradesh,720.75,65,22.2,6.5,15.7,7.9,1.215,58.2,63.4,69.5,64.9,72,29.8,5,3.4,2,5.8,HIGH,6.4,14.5
PRJ-1065,Urban Development,Bihar,1084.6,13,31.5,12.9,18.6,15.5,1.202,68.9,68.9,66.0,59.5,90,44.1,2,3.4,2,5.7,HIGH,6.4,17.0
PRJ-1066,Urban Development,Gujarat,818.39,25,20.4,18.4,2.0,19.9,1.082,92.4,95.0,92.7,89.8,0,93.2,0,1.2,0,1.1,LOW,0.4,0.9
PRJ-1067,Airport,Uttarakhand,3483.24,28,61.8,60.3,1.5,60.8,1.008,82.7,82.2,82.8,78.5,44,94.0,0,6.1,0,3.5,MEDIUM,1.6,5.8
PRJ-1068,Bridge,Karnataka,1782.75,31,68.2,59.3,8.9,69.8,1.177,64.3,53.5,65.5,62.5,79,88.3,6,4.6,3,5.2,HIGH,6.0,17.2
PRJ-1069,Irrigation,Bihar,1002.39,28,79.0,78.3,0.7,79.2,1.011,90.3,93.9,92.9,88.0,4,97.0,1,2.1,0,0.9,LOW,0.4,0.7
PRJ-1070,Urban Development,Uttarakhand,660.9,30,62.2,48.9,13.3,59.8,1.223,68.8,55.7,55.5,65.3,68,76.5,4,4.5,1,5.1,HIGH,7.5,13.3
PRJ-1071,Highway,Andhra Pradesh,1200.9,39,44.3,42.9,1.4,44.0,1.026,90.9,94.4,95.1,95.0,8,93.8,0,1.1,0,1.1,LOW,0.4,1.4
PRJ-1072,Power Infrastructure,Maharashtra,2067.26,29,69.0,69.0,0.0,70.8,1.026,90.1,86.7,92.5,90.9,2,100.0,1,1.0,0,1.1,LOW,0.1,1.6
PRJ-1073,Railway,Kerala,3122.81,24,28.6,24.7,3.9,26.0,1.053,82.3,81.5,75.7,70.3,30,86.8,0,5.1,1,2.7,MEDIUM,3.0,5.3
PRJ-1074,Airport,Rajasthan,10873.83,29,59.9,59.9,0.0,62.0,1.035,92.9,93.8,94.2,90.2,0,100.0,0,2.3,0,2.2,LOW,0.3,1.7
PRJ-1075,Highway,Rajasthan,601.89,24,70.0,65.8,4.2,71.8,1.091,81.0,82.3,74.0,83.7,39,95.5,4,4.1,0,4.7,MEDIUM,1.8,4.1
PRJ-1076,Railway,Tamil Nadu,6447.71,48,28.8,28.8,0.0,29.0,1.007,97.6,89.6,98.2,97.2,0,95.3,0,0.2,0,1.5,LOW,0.2,0.0
PRJ-1077,Power Infrastructure,Tamil Nadu,2189.27,30,32.3,23.9,8.4,25.6,1.071,59.2,55.0,65.1,66.0,96,66.3,3,5.5,1,6.4,HIGH,5.6,11.6
PRJ-1078,Urban Development,Karnataka,1274.39,13,75.4,64.9,10.5,70.8,1.091,62.7,52.3,58.2,60.8,55,87.6,2,6.0,1,6.8,HIGH,5.8,19.1
PRJ-1079,Metro,Jammu & Kashmir,1765.68,58,78.4,78.4,0.0,78.2,0.997,92.3,98.4,89.6,96.2,0,99.4,0,2.0,0,2.1,LOW,0.2,1.7
PRJ-1080,Urban Development,Bihar,565.08,32,52.4,48.2,4.2,49.1,1.019,78.3,83.2,73.6,82.5,21,92.5,1,4.5,1,2.7,MEDIUM,3.1,5.5
PRJ-1081,Airport,Uttarakhand,1916.83,64,39.1,21.4,17.7,24.9,1.164,70.5,57.0,66.3,56.2,90,54.6,2,6.4,2,5.6,HIGH,6.5,14.0
PRJ-1082,Water Supply,West Bengal,715.73,19,86.3,86.3,0.0,84.3,0.977,89.7,86.6,89.3,93.0,0,100.0,0,1.6,0,1.1,LOW,0.2,1.6
PRJ-1083,Urban Development,West Bengal,160.88,33,38.6,34.4,4.2,35.5,1.032,75.1,84.7,83.2,78.9,32,90.1,0,3.2,1,2.9,MEDIUM,2.3,7.7
PRJ-1084,Airport,Assam,3667.23,56,80.5,80.5,0.0,79.7,0.99,94.5,92.6,91.6,92.0,1,100.0,1,2.8,0,1.6,LOW,0.1,1.7
PRJ-1085,Irrigation,Delhi NCR,1272.66,18,45.6,39.6,6.0,42.4,1.071,72.1,81.4,72.5,77.8,35,88.7,1,3.7,0,4.1,MEDIUM,0.8,6.1
PRJ-1086,Urban Development,Delhi NCR,1438.55,20,35.6,22.7,12.9,27.1,1.194,55.0,55.0,54.5,64.3,107,64.3,2,3.7,3,6.1,HIGH,7.9,16.9
PRJ-1087,Railway,Rajasthan,6921.45,58,55.9,43.0,12.9,50.2,1.167,60.3,65.3,65.3,55.8,76,75.2,3,6.2,3,5.5,HIGH,6.5,12.2
PRJ-1088,Bridge,Tamil Nadu,2276.78,46,55.7,54.8,0.9,56.4,1.029,98.9,95.7,96.9,93.9,7,100.0,0,2.4,0,1.5,LOW,0.1,0.2
PRJ-1089,Irrigation,Maharashtra,707.32,33,70.8,66.0,4.8,69.2,1.048,84.7,83.6,83.7,70.7,27,94.4,0,1.5,1,3.9,MEDIUM,2.5,5.0
PRJ-1090,Urban Development,Rajasthan,2162.1,20,38.0,38.0,0.0,37.7,0.992,92.9,96.1,88.8,94.9,4,100.0,0,1.3,0,0.6,LOW,0.2,1.6
PRJ-1091,Bridge,Maharashtra,546.61,20,72.6,48.5,24.1,61.3,1.264,47.4,34.4,46.3,37.6,139,67.6,4,7.1,5,8.0,CRITICAL,11.6,24.8
PRJ-1092,Railway,Uttar Pradesh,6690.72,28,59.5,53.1,6.4,55.5,1.045,83.9,76.4,74.1,73.2,32,95.4,1,3.5,1,3.4,MEDIUM,2.3,8.6
PRJ-1093,Bridge,Tamil Nadu,3227.54,29,31.9,31.9,0.0,32.2,1.009,93.7,88.7,98.5,94.8,1,100.0,1,2.2,0,1.3,LOW,0.8,1.4
PRJ-1094,Highway,Andhra Pradesh,1311.68,28,75.8,57.6,18.2,71.1,1.234,63.4,56.9,66.7,57.9,75,74.7,5,5.3,2,6.7,HIGH,5.3,13.1
PRJ-1095,Railway,Uttarakhand,4917.57,45,64.3,43.7,20.6,55.9,1.279,50.3,41.1,54.3,51.4,179,66.5,7,7.7,2,7.2,CRITICAL,11.3,21.8
PRJ-1096,Bridge,Madhya Pradesh,661.28,25,74.7,49.9,24.8,62.3,1.248,47.4,36.9,40.1,51.8,216,64.0,4,8.7,2,7.6,CRITICAL,14.2,32.9
PRJ-1097,Power Infrastructure,West Bengal,3765.01,40,65.7,60.8,4.9,63.5,1.044,76.6,80.3,73.0,79.5,27,91.9,1,2.0,1,2.7,MEDIUM,2.7,5.6
PRJ-1098,Urban Development,Karnataka,596.05,26,74.7,66.2,8.5,73.9,1.116,67.9,53.0,68.4,58.3,82,81.8,1,5.6,3,5.2,HIGH,6.1,14.1
PRJ-1099,Power Infrastructure,Rajasthan,1438.44,33,81.8,81.3,0.5,83.7,1.03,96.3,96.5,88.2,96.8,0,100.0,1,2.4,0,1.9,LOW,0.1,0.5
PRJ-1100,Power Infrastructure,Odisha,472.47,36,53.8,53.8,0.0,57.3,1.065,91.3,89.9,96.9,92.8,2,99.5,2,0.3,0,1.5,LOW,0.0,1.4
PRJ-1101,Bridge,Gujarat,4776.85,45,83.3,82.7,0.6,86.1,1.041,92.7,90.1,93.2,91.7,0,100.0,0,2.0,0,2.0,LOW,0.5,0.4
PRJ-1102,Railway,Odisha,1585.23,58,47.7,42.5,5.2,45.3,1.066,85.3,79.0,83.2,79.1,30,87.7,1,3.0,0,2.5,MEDIUM,0.9,4.2
PRJ-1103,Irrigation,Odisha,978.1,12,54.1,52.3,1.8,53.6,1.025,84.0,70.7,84.5,77.5,32,91.0,1,4.0,0,3.8,MEDIUM,2.8,6.8
PRJ-1104,Water Supply,Delhi NCR,509.94,21,56.5,55.5,1.0,58.5,1.054,95.7,98.9,89.6,91.4,4,97.7,0,0.8,0,1.2,LOW,0.4,0.8
PRJ-1105,Highway,Gujarat,3548.66,37,69.4,45.8,23.6,56.8,1.24,43.7,38.1,37.4,40.4,206,70.0,3,6.9,4,8.0,CRITICAL,13.5,22.2
PRJ-1106,Highway,Assam,751.71,36,32.4,32.4,0.0,33.5,1.034,93.8,96.8,99.9,94.6,0,97.7,1,3.8,0,1.3,LOW,0.5,1.1
PRJ-1107,Irrigation,Gujarat,566.53,25,25.6,24.3,1.3,25.6,1.053,94.5,88.9,92.6,96.2,0,94.7,0,1.2,0,1.8,LOW,0.8,1.6
PRJ-1108,Bridge,West Bengal,3033.17,25,88.2,88.1,0.1,91.2,1.035,92.2,86.1,92.6,91.7,2,100.0,0,2.0,0,0.7,LOW,0.0,1.3
PRJ-1109,Bridge,Himachal Pradesh,6887.62,24,27.1,27.0,0.1,24.9,0.922,92.6,91.1,91.8,97.0,0,95.4,0,2.1,0,0.7,LOW,0.0,1.2
PRJ-1110,Power Infrastructure,Karnataka,2130.54,37,30.9,30.9,0.0,31.7,1.026,96.5,98.7,93.7,97.6,3,100.0,0,1.4,0,0.9,LOW,0.2,0.1
PRJ-1111,Water Supply,Bihar,377.74,29,31.9,12.1,19.8,14.2,1.174,57.4,65.9,57.3,69.0,69,37.8,4,6.1,3,5.9,HIGH,6.0,14.8
PRJ-1112,Airport,Delhi NCR,1690.04,72,76.9,45.8,31.1,60.9,1.33,40.2,49.3,53.9,49.5,207,60.1,7,5.7,5,8.1,CRITICAL,11.3,30.6
PRJ-1113,Bridge,Tamil Nadu,2108.88,48,54.3,48.5,5.8,51.5,1.062,72.0,79.6,76.5,70.8,33,91.3,1,2.2,0,3.7,MEDIUM,2.2,8.2
PRJ-1114,Power Infrastructure,Himachal Pradesh,709.87,45,41.6,28.9,12.7,33.7,1.166,59.5,55.6,69.3,66.3,83,70.0,4,3.8,1,5.8,HIGH,5.2,14.9
PRJ-1115,Railway,Uttar Pradesh,5694.97,61,21.8,19.3,2.5,20.1,1.041,80.8,78.7,82.5,77.7,25,88.5,0,1.5,1,3.2,MEDIUM,3.0,4.1
PRJ-1116,Urban Development,Maharashtra,430.42,21,77.9,77.9,0.0,78.7,1.01,98.0,90.2,93.7,90.3,0,100.0,0,0.7,0,2.2,LOW,0.2,2.0
PRJ-1117,Railway,Rajasthan,4285.47,38,69.1,63.7,5.4,64.6,1.014,83.5,82.1,80.3,80.0,29,88.8,0,3.1,0,4.2,MEDIUM,3.0,5.2
PRJ-1118,Metro,Odisha,6547.77,45,71.5,71.5,0.0,71.9,1.006,94.4,92.1,92.1,96.6,5,100.0,0,2.4,0,2.1,LOW,0.4,1.3
PRJ-1119,Power Infrastructure,Jammu & Kashmir,1437.92,42,68.6,42.5,26.1,54.7,1.287,45.7,50.5,51.9,32.9,148,60.1,4,9.5,4,9.4,CRITICAL,14.1,26.2
PRJ-1120,Bridge,Assam,1699.11,31,51.2,24.7,26.5,32.1,1.3,42.0,38.1,36.0,36.6,173,46.9,7,10.0,2,8.9,CRITICAL,10.7,34.7
PRJ-1121,Highway,Bihar,610.57,37,79.3,75.0,4.3,80.9,1.079,73.4,80.3,75.6,77.6,38,100.0,3,4.2,0,3.4,MEDIUM,2.2,6.5
PRJ-1122,Water Supply,Maharashtra,467.7,32,75.7,63.9,11.8,75.5,1.182,70.6,54.1,54.3,62.3,97,86.6,2,6.1,1,5.8,HIGH,7.7,15.9
PRJ-1123,Water Supply,Madhya Pradesh,1946.96,32,79.7,70.4,9.3,78.4,1.114,74.9,72.3,85.5,74.1,32,89.9,3,3.6,1,2.6,MEDIUM,2.0,5.5
PRJ-1124,Power Infrastructure,Telangana,2203.12,30,76.3,76.3,0.0,76.1,0.997,96.9,94.3,92.7,86.9,4,100.0,0,1.8,0,1.1,LOW,0.1,1.3
PRJ-1125,Water Supply,Himachal Pradesh,156.69,21,29.7,27.2,2.5,26.6,0.978,90.7,92.5,96.2,91.9,6,84.9,0,1.7,0,1.9,LOW,0.1,0.9
PRJ-1126,Power Infrastructure,Karnataka,844.75,41,88.5,66.1,22.4,82.3,1.245,53.6,42.5,40.2,47.7,196,79.4,5,7.0,4,7.9,CRITICAL,9.9,31.0
PRJ-1127,Bridge,Telangana,1553.26,41,63.4,62.9,0.5,63.0,1.002,92.1,93.2,97.7,95.2,4,97.4,1,0.3,0,1.4,LOW,0.0,4.0
PRJ-1128,Bridge,Uttar Pradesh,2266.33,21,26.5,21.5,5.0,23.4,1.088,78.2,74.1,81.3,70.8,28,78.3,2,4.5,0,3.1,MEDIUM,2.5,7.4
PRJ-1129,Urban Development,Uttar Pradesh,887.56,40,40.3,35.1,5.2,37.7,1.074,85.3,83.4,78.3,82.5,18,89.3,2,3.8,0,3.1,MEDIUM,2.2,4.4
PRJ-1130,Irrigation,Uttar Pradesh,673.76,20,26.8,2.0,24.8,5.0,2.5,48.8,47.0,42.1,33.0,136,15.0,3,8.7,2,7.1,CRITICAL,9.1,22.5
PRJ-1131,Highway,Jammu & Kashmir,452.65,42,73.4,73.4,0.0,77.2,1.052,91.3,90.2,96.6,90.5,6,98.2,0,3.8,0,1.1,LOW,0.4,1.3
PRJ-1132,Urban Development,Uttarakhand,305.64,21,76.2,61.4,14.8,71.8,1.169,55.7,56.5,63.6,68.3,75,81.9,3,5.2,1,5.4,HIGH,5.6,14.1
PRJ-1133,Metro,Uttar Pradesh,1736.72,56,31.3,31.3,0.0,31.5,1.006,95.4,91.7,94.6,94.9,1,100.0,0,0.9,0,1.4,LOW,0.1,2.1
PRJ-1134,Urban Development,Tamil Nadu,845.87,30,56.1,55.6,0.5,57.5,1.034,93.9,91.6,91.7,91.9,3,98.2,0,1.3,0,2.1,LOW,0.0,2.0
PRJ-1135,Metro,Tamil Nadu,3636.64,45,87.3,74.1,13.2,84.6,1.142,65.0,56.2,56.6,68.7,52,88.6,0,3.7,1,5.7,HIGH,4.9,12.7
PRJ-1136,Railway,Rajasthan,2377.87,45,51.2,36.3,14.9,42.8,1.179,55.9,58.4,69.1,59.7,86,70.1,4,5.6,1,5.7,HIGH,4.5,14.7
PRJ-1137,Water Supply,Gujarat,344.4,21,63.6,58.5,5.1,64.7,1.106,80.8,78.2,82.3,80.4,29,90.3,1,1.9,0,4.7,MEDIUM,3.2,4.6
PRJ-1138,Bridge,Uttar Pradesh,6485.12,44,38.1,38.1,0.0,40.1,1.052,94.7,90.1,91.3,94.2,6,100.0,2,1.6,0,0.8,LOW,0.0,2.6
PRJ-1139,Railway,Odisha,4260.72,43,88.9,88.9,0.0,88.5,0.996,90.1,94.7,99.7,95.9,0,100.0,0,0.4,0,1.2,LOW,0.4,0.9
PRJ-1140,Urban Development,Andhra Pradesh,157.73,15,62.4,48.3,14.1,54.7,1.133,58.9,64.1,55.5,63.9,54,79.5,2,3.8,3,5.8,HIGH,7.4,17.8
PRJ-1141,Airport,West Bengal,2617.56,44,55.5,48.5,7.0,53.9,1.111,77.6,77.7,75.8,81.0,34,82.2,2,4.5,0,3.8,MEDIUM,2.2,8.2
PRJ-1142,Irrigation,Rajasthan,995.68,33,37.9,36.4,1.5,37.9,1.041,78.2,79.7,86.0,76.0,28,100.0,2,1.7,0,3.0,MEDIUM,2.0,5.1
PRJ-1143,Airport,Assam,1240.46,58,28.1,13.7,14.4,15.9,1.161,70.1,64.7,65.5,66.0,56,44.7,2,7.6,3,6.1,HIGH,6.3,15.4
PRJ-1144,Metro,Telangana,2584.7,44,45.5,22.7,22.8,29.6,1.304,51.7,32.3,42.9,52.7,90,54.3,9,7.5,2,8.0,CRITICAL,12.9,28.4
